            ##########
########    #........#
#......#    #........#    ####%####
#......#    #........#    #.......#     
#......//////........//////..0....#
###/####    #........#    #....####
   /        #........#    #....#
###/####    #........#    ####/#
#......#    #........#        /
#......#    #........#        /
#......//////........#    ####/#
#......#    #........//////....#
#......#    #........#    ###/##
#......#    #####/####       /
#......#         /           /
#####/##    #####/####       /
     /      #...!....#    ###/###
     /      ####/#####    #.....#
     /          /         #.....#
     /          /         ###/###
    #/##    ####/####        /
    #..//////.......#     ###/###
    #..#    #.......///////.....#
    ####    #########     #######
