             #########
  ######     #...!...#    ######
  #....///////.......//////....#
  #....#     ####/####    #....#
  #.!..#         /        #.!..#
  #....#     ####/####    #....#
  #....///////...?...//////....#
  ###/##     #.......#    ##/### 
     /       ####/####      /
  ###/##         /        ##/###
  #....#       ##/##      #....#
  #.!..#       #...#      #.?..#
  #..../////////...#      #....#
  #/####       #...#      #....#
   /           ##/##      #....#
   /             /        #....#
   /           ##/##      #....#
  #/####       #...#      #....#
  #..../////////.0.////////..!.#
  #?...#       #...#      #....#
  ######       #####      ######
