
  ######     #########    ######
  #....#     #.......#    #....#
  #....#     #.......#    #....#
  #....#     #.......#    #....#
  #....///////.......//////....#
  #....#     #.......#    #....#
  ###/##     #.......#    ##/### 
     /       ####/####      /
  ###/##         /        ##/###
  #....#       ##/##      #....#
  #..!.#       #...#      #.!..#
  #....#       #.0.#      #....#
  #....#       #...#      #....#
  #....#       ##/##      #....#
  #....#         /        #....#
  #....#       ##/##      #....#
  #....#       #...#      #....#
  #..../////////...////////....#
  #....#       #...#      #....#
  ######       #####      ######
