 										######################### 			
          #######						#.......................#						
          #.....#		###########		#.......................#	
          #.....#		#.........///////.......................#
          #...../////////.....!...#		#.......................#	
          #.....#		#####/#####		#.......................#
          #.....#			 /			#.......................#
          #/#####			 /			#.......................#
           /				 /			#.......................#
           /		    #####/###	    #.......................#
           /			#.......#		#.......................#
           /			#...?...#		#.......................#
      	###/#########	#.......# 		############/############
      	#...........#	#####/### 					/
      	#...........#		 /						/
      	#...........#		#/#######			####/####
      	#......0....#		#.......#			#.......#
      	#...........#		#.......#			#.......#
      	#...........////////#.......#///////////#.......#	
      	#############		#.......#			#...?...#
      						#.......#			#.......#
      						#########			#.......#
      											#.......#	
      											#########
