           #####
 ###       #...#        ###
 #./////////.!.//////////.#
 #/#       #...#        #/#
  /        ##/##         /
  /         #/#          /
  /         #.#          /
  /         #/#          /
  /     #####/#####      /
  /     #.........#      /
  /     #.........#      /
##/##   #.........#   ###/#
#...#####.........#####...#
#.!.//.//....!....//.//.0.#
#...#####.........#####...#
##/##   #.........#   ###/#
  /     #.........#      /
  /     #.........#      /
  /     #####/#####      /
  /         #/#          /
  /         #.#          /
  /         #/#          /
  /        ##/##         /
 #/#       #...#        #/#
 #./////////.!.//////////.#
 ###       #...#        ###
           #####
