             #########
  ######     #.......#    ######
  #....///////.......//////....#
  #....#     ####/####    #....#
  #....#         /        #....#
  #....#     ####/####    #....#
  #....///////.......//////....#
  ###/##     #.......#    ##/### 
     /       ####/####      /
  ###/##         /        ##/###
  #....#       ##/##      #....#
  #....#       #...#      #.?..#
  #..../////////...#      #....#
  #/####       #...#      #....#
   /           ##/##      #....#
   /             /        #....#
   /           ##/##      #....#
  #/####       #...#      #....#
  #..../////////.0.////////..!.#
  #?...#       #...#      #....#
  ######       #####      ######
