            ##########
########    #........#
#......#    #........#    ####%####
#......#    #........#    #.......#     
#......//////........//////..0...?#
###/####    #...?....#    #....####
   /        #........#    #....#
###/####    #........#    ####/#
#......#    #........#        /
#......#    #........#        /
#......//////........#    ####/#
#......#    #........//////....#
#......#    #........#    ###/##
#......#    #####/####       /
#......#         /           /
#####/##    #####/####       /
     /      #...!....#    ###/###
     /      ####/#####    #.....#
     /          /         #.....#
     /          /         ###/###
    #/##    ####/####        /
    #..//////.......#     ###/###
    #..#    #.......///////.....#
    ####    #########     #######
