                                     #########################
          #######                    #.......................#
          #.....#  ###########       #.......................#
          #.....#  #........./////////.................!.....#
          #.....////.........#       #.......................#
          #.....#  #####/#####       #.......................#
          #!....#       /            #.......................#
          #/#####       /            #...................!...#
           /            /            #................!......#
           /         ###/#####       #.......................#
           /         #*******#       #.......................#
           /         #***?***#       #....!..................#
       ####/######## #*******#       ############/############
       #...........# #####/###                   /
       #...........#      /                      /
       #...........#  ####/####                ##/######
       #......0....#  #*******#                #.......#
       #...........#  #*******#                #....!..#
       #...........////****?**//////////////////.......#
       #############  #*******#                #.......#
                      #***!***#                #.......#
                      #########                #...!...#
                                               #.......# 
                                               #########
